Year,LPWFishNo,Location,SpawnDate,Length,Weight,GeneticsCard,GeneticsGrid,Ad_clip,TagCode,Stock,BroodYear,Age,Spawned,BKD,OvarianFluid,Isotope,TotalThiamine,SID
2018,,Macauley,,,,,,,,Andrew Creek,,,,,,,5.4,A7
2018,,Macauley,,,,,,,,Andrew Creek,,,,,,,6.4,A6
2018,,Macauley,,,,,,,,Andrew Creek,,,,,,,7.4,A1
2018,,Macauley,,,,,,,,Andrew Creek,,,,,,,7.5,A10
2018,,Macauley,,,,,,,,Andrew Creek,,,,,,,7.9,A3
2018,,Macauley,,,,,,,,Andrew Creek,,,,,,,8.1,A9
2018,,Macauley,,,,,,,,Andrew Creek,,,,,,,8.4,A2
2018,,Macauley,,,,,,,,Andrew Creek,,,,,,,9.4,A8
2018,,Macauley,,,,,,,,Andrew Creek,,,,,,,9.6,A5
2018,,Macauley,,,,,,,,Andrew Creek,,,,,,,10.6,A4
2023,,Medvejie,,,,,,,,Andrew Creek,,,,,,,3.8,6
2023,,Macauley,,,,,,,,Andrew Creek,,,,,,,4.5,DIPAC_8
2023,,Medvejie,,,,,,,,Andrew Creek,,,,,,,5,8
2023,,Macauley,,,,,,,,Andrew Creek,,,,,,,5.1,DIPAC_5
2023,,Medvejie,,,,,,,,Andrew Creek,,,,,,,5.2,10
2023,,Macauley,,,,,,,,Andrew Creek,,,,,,,5.3,DIPAC_3
2023,,Medvejie,,,,,,,,Andrew Creek,,,,,,,5.9,12
2023,,Medvejie,,,,,,,,Andrew Creek,,,,,,,5.9,19
2023,,Medvejie,,,,,,,,Andrew Creek,,,,,,,6.2,15
2023,,Medvejie,,,,,,,,Andrew Creek,,,,,,,6.5,16
2023,,Medvejie,,,,,,,,Andrew Creek,,,,,,,7,17
2023,,Macauley,,,,,,,,Andrew Creek,,,,,,,7.2,DIPAC_1
2023,,Medvejie,,,,,,,,Andrew Creek,,,,,,,7.3,1
2023,,Medvejie,,,,,,,,Andrew Creek,,,,,,,7.3,2
2023,,Medvejie,,,,,,,,Andrew Creek,,,,,,,7.3,11
2023,,Medvejie,,,,,,,,Andrew Creek,,,,,,,7.5,7
2023,,Medvejie,,,,,,,,Andrew Creek,,,,,,,7.5,9
2023,,Medvejie,,,,,,,,Andrew Creek,,,,,,,7.6,13
2023,,Medvejie,,,,,,,,Andrew Creek,,,,,,,7.6,14
2023,,Macauley,,,,,,,,Andrew Creek,,,,,,,7.7,DIPAC_4
2023,,Medvejie,,,,,,,,Andrew Creek,,,,,,,8,20
2023,,Macauley,,,,,,,,Andrew Creek,,,,,,,8,DIPAC_6
2023,,Medvejie,,,,,,,,Andrew Creek,,,,,,,8.2,3
2023,,Macauley,,,,,,,,Andrew Creek,,,,,,,8.4,DIPAC_7
2023,,Macauley,,,,,,,,Andrew Creek,,,,,,,8.5,DIPAC_2
2023,,Medvejie,,,,,,,,Andrew Creek,,,,,,,8.7,4
2023,,Medvejie,,,,,,,,Andrew Creek,,,,,,,9,18
2023,,Medvejie,,,,,,,,Andrew Creek,,,,,,,11.1,5
2024,,Medvejie,,,,,,,,Andrew Creek,,,,,,,2.84,Medvejie-02
2024,,Medvejie,,,,,,,,Andrew Creek,,,,,,,3.00,Medvejie-15
2024,,Medvejie,,,,,,,,Andrew Creek,,,,,,,3.08,Medvejie-22
2024,,Medvejie,,,,,,,,Andrew Creek,,,,,,,3.13,Medvejie-13
2024,,Medvejie,,,,,,,,Andrew Creek,,,,,,,3.44,Medvejie-03
2024,,Medvejie,,,,,,,,Andrew Creek,,,,,,,3.48,Medvejie-28
2024,,Medvejie,,,,,,,,Andrew Creek,,,,,,,3.62,Medvejie-14
2024,,Medvejie,,,,,,,,Andrew Creek,,,,,,,3.91,Medvejie-24
2024,,Medvejie,,,,,,,,Andrew Creek,,,,,,,4.07,Medvejie-25
2024,,Medvejie,,,,,,,,Andrew Creek,,,,,,,4.15,Medvejie-29
2024,,Medvejie,,,,,,,,Andrew Creek,,,,,,,4.18,Medvejie-16
2024,,Medvejie,,,,,,,,Andrew Creek,,,,,,,4.27,Medvejie-11
2024,,Medvejie,,,,,,,,Andrew Creek,,,,,,,4.42,Medvejie-27
2024,,Medvejie,,,,,,,,Andrew Creek,,,,,,,4.51,Medvejie-20
2024,,Medvejie,,,,,,,,Andrew Creek,,,,,,,4.79,Medvejie-09
2024,,Medvejie,,,,,,,,Andrew Creek,,,,,,,4.88,Medvejie-17
2024,,Medvejie,,,,,,,,Andrew Creek,,,,,,,5.04,Medvejie-06
2024,,Medvejie,,,,,,,,Andrew Creek,,,,,,,5.10,Medvejie-18
